Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2
0,0.08,
0.025,0.08,0
0.05,0.08,0
0.075,0.08,0
0.1,0.08,0.01
0.125,0.08,0.01
0.15,0.08,0.01
0.175,0.08,0.01
0.2,0.08,0.01
0.225,0.08,0.01
0.25,0.08,0.03
0.275,0.08,0.04
0.3,0.08,0.03
0.325,0.08,0
0.35,0.08,-0.02
0.375,0.08,0.02
0.4,0.08,0.06
0.425,0.09,0.09
0.45,0.09,0.14
0.475,0.09,0.21
0.5,0.1,0.31
0.525,0.11,0.37
0.55,0.12,0.41
0.575,0.13,0.46
0.6,0.14,0.48
0.625,0.15,0.56
0.65,0.17,0.59
0.675,0.19,0.67
0.7,0.2,0.77
0.725,0.22,0.84
0.75,0.24,0.85
0.775,0.26,0.76
0.8,0.28,0.76
0.825,0.3,0.83
0.85,0.32,0.9
0.875,0.35,0.89
0.9,0.37,0.82
0.925,0.39,0.86
0.95,0.41,0.93
0.975,0.44,0.98
1,0.46,0.9
1.025,0.48,0.84
1.05,0.5,0.83
1.075,0.53,0.79
1.1,0.54,0.66
1.125,0.56,0.61
1.15,0.56,0.74
1.175,0.59,0.85
1.2,0.61,0.91
1.225,0.63,0.81
1.25,0.66,0.8
1.275,0.67,0.83
1.3,0.7,0.87
1.325,0.72,0.9
1.35,0.74,0.87
1.375,0.76,0.87
1.4,0.78,0.85
1.425,0.8,0.86
1.45,0.83,0.9
1.475,0.85,0.92
1.5,0.87,0.9
1.525,0.9,0.87
1.55,0.92,0.86
1.575,0.94,0.89
1.6,0.96,0.91
1.625,0.98,0.92
1.65,1.01,0.92
1.675,1.03,0.94
1.7,1.05,0.94
1.725,1.08,0.94
1.75,1.1,0.95
1.775,1.12,0.97
1.8,1.15,0.98
1.825,1.17,1
1.85,1.2,1.02
1.875,1.23,1.05
1.9,1.25,1.05
1.925,1.28,1.02
1.95,1.3,0.99
1.975,1.33,0.99
2,1.35,1.03
2.025,1.38,1.07
2.05,1.41,1.07
2.075,1.43,1.02
2.1,1.46,0.97
2.125,1.48,1.01
2.15,1.5,1.05
2.175,1.54,1.05
2.2,1.56,0.99
2.225,1.58,0.97
2.25,1.61,1.01
2.275,1.63,1.02
2.3,1.66,1.01
2.325,1.68,1.01
2.35,1.71,1.04
2.375,1.74,1.06
2.4,1.76,1.05
2.425,1.79,1.05
2.45,1.81,1.03
2.475,1.84,0.9
2.5,1.86,0.63
2.525,1.87,0.29
2.55,1.87,0.06
2.575,1.87,-0.02
2.6,1.87,-0.02
2.625,1.87,-0.000318
2.65,1.87,0
2.675,1.87,0.000537
2.7,1.87,0
2.725,1.87,0
2.75,1.87,0.000341
2.775,1.87,0
2.8,1.87,0
2.825,1.87,0.000537
2.85,1.87,1.46E-09
2.875,1.87,-4.73E-08
2.9,1.87,0.000878
2.925,1.87,0
2.95,1.87,0.000268
2.975,1.87,-0.000878
3,1.87,0
3.025,1.87,0.000341
3.05,1.87,0
3.075,1.87,0
3.1,1.87,0.000268
3.125,1.87,0
3.15,1.87,0
3.175,1.87,-0.000878
3.2,1.87,0
3.225,1.87,0
3.25,1.87,0.00061
3.275,1.87,0
3.3,1.87,0
3.325,1.87,0
3.35,1.87,0
3.375,1.87,0
3.4,1.87,0
3.425,1.87,0
3.45,1.87,0
3.475,1.87,0
3.5,1.87,-0.00061
3.525,1.87,-0.000268
3.55,1.87,0.000878
3.575,1.87,0
3.6,1.87,0
3.625,1.87,0.000268
3.65,1.87,-0.000878
3.675,1.87,0
3.7,1.87,0
3.725,1.87,0
3.75,1.87,0
3.775,1.87,0
3.8,1.87,0
3.825,1.87,0
3.85,1.87,-0.000805
3.875,1.87,-4.86
3.9,1.87,-6.07
3.925,1.14,-5.33
3.95,1.69,-4.84
3.975,1.26,-4.44
4,1.04,-5.23
4.025,1.13,2.85
4.05,1.03,9.29
4.075,1.69,10.56
4.1,1.87,6.85
4.125,1.87,1.22
4.15,1.87,0
4.175,1.87,0
4.2,1.87,0
4.225,1.87,0
4.25,1.87,0
4.275,1.87,0.000268
4.3,1.87,0
4.325,1.87,0
4.35,1.87,0
4.375,1.87,0
4.4,1.87,0.000269
4.425,1.87,0
4.45,1.87,0
4.475,1.87,0
4.5,1.87,0
4.525,1.87,0
4.55,1.87,-4.8
4.575,1.87,-6
4.6,1.15,-5.28
4.625,1.69,-4.27
4.65,1.26,-3.94
4.675,1.13,-5.27
4.7,1.13,2.24
4.725,1.03,4.58
4.75,1.69,0.84
4.775,1.25,-4.33
4.8,1.04,-5.9
4.825,1.04,-1.03
4.85,1.02,0.5
4.875,1.11,0.52
4.9,1.04,-0.24
4.925,1.1,
